Address,latitude,longtitude,bedrooms,Baths,Space,Price,Description,School Index,Hos Index,Market Index,Crime Index,County
203 Northside Dr NW,34.043247,-84.561242,4,2.5,"3,303","$370,000 ","4 bed, 2.5 bath townhouse in 203 Northside Dr NW",26.48230159,26.19680166,32.83056297,0.582711005,Cobb
484 Cooper Lake Rd SE,33.832668,-84.537734,6,4,"3,266","$400,000 ","6 bed, 4 bath townhouse in 484 Cooper Lake Rd SE",18.79572994,14.92857771,18.70350622,1.210709147,Cobb
2998 Rockbridge Rd,34.025705,-84.540097,5,3.5,"3,304","$299,977 ","5 bed, 3.5 bath townhouse in 2998 Rockbridge Rd",22.36309832,23.78440428,30.12076801,0.634889032,Cobb
2807 Pine Meadow Dr,34.014052,-84.506239,3,2,"1,120","$159,900 ","3 bed, 2 bath townhouse in 2807 Pine Meadow Dr",20.31566992,22.20684268,27.02022858,0.698916437,Cobb
4266 Cabretta Dr SE,33.849742,-84.502639,3,2.5,"1,751","$259,900 ","3 bed, 2.5 bath townhouse in 4266 Cabretta Dr SE",17.02089759,9.944954988,15.96227443,1.386062688,Cobb
4109 Horsebit Trl,33.852565,-84.720077,5,3,"3,832","$239,900 ","5 bed, 3 bath townhouse in 4109 Horsebit Trl",34.47213096,35.59515815,38.59251601,0.526719463,Cobb
612 Briarmeade Dr SW,33.934356,-84.591514,3,2.5,"2,482","$275,900 ","3 bed, 2.5 bath townhouse in 612 Briarmeade Dr SW",22.5513238,21.06256247,28.61158529,0.710709485,Cobb
1166 Booth Rd SW,33.924319,-84.560417,2,2,"1,147","$59,900 ","2 bed, 2 bath townhouse in 1166 Booth Rd SW",18.71275642,18.49412963,25.30133726,0.809022076,Cobb
1007 Brentmoor Ln NW,34.051078,-84.581993,4,2.5,"1,955","$218,000 ","4 bed, 2.5 bath townhouse in 1007 Brentmoor Ln NW",28.25817105,27.8142524,34.86554834,0.550313509,Cobb
2994 Barry Ave SE,33.881523,-84.548179,3,2.5,"1,488","$244,999 ","3 bed, 2.5 bath townhouse in 2994 Barry Ave SE",16.5077873,16.0969824,21.94964349,0.968401822,Cobb
1303 Marietta Country Club Dr NW,33.977166,-84.620065,5,3.5,"4,218","$879,000 ","5 bed, 3.5 bath townhouse in 1303 Marietta Country Club Dr NW",25.63315636,16.14827863,33.43036878,0.594902265,Cobb
2955 Montview Dr SW,33.882072,-84.575393,4,2.5,"2,466","$259,900 ","4 bed, 2.5 bath townhouse in 2955 Montview Dr SW",16.96805049,18.43290354,24.566763,0.85977988,Cobb
2160 Cheyanne Dr SE,33.860515,-84.491874,4,3.5,"4,688","$539,900 ","4 bed, 3.5 bath townhouse in 2160 Cheyanne Dr SE",16.46853543,11.01148149,15.16859565,1.386224451,Cobb
5413 Trumpet Vine Trl SE,33.81864,-84.526935,3,2.5,"1,805","$225,000 ","3 bed, 2.5 bath townhouse in 5413 Trumpet Vine Trl SE",18.3535479,14.71328971,17.01926539,1.375954556,Cobb
3078 Castleton Way,33.991573,-84.463355,5,4,"3,096","$599,900 ","5 bed, 4 bath townhouse in 3078 Castleton Way",19.0240636,19.72283085,22.69663624,0.809953691,Cobb
2974 Sewell Mill Rd,33.981319,-84.465385,5,3,"3,311","$625,000 ","5 bed, 3 bath townhouse in 2974 Sewell Mill Rd",19.06861437,18.99712685,22.01694148,0.841543263,Cobb
